,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
21,41,management,married,unknown,no,yes,no,telephone,may,thu,347.0,1,999,0,nonexistent,no
22,43,technician,divorced,professional.course,unknown,yes,yes,cellular,jul,wed,180.0,7,999,0,nonexistent,no
23,35,management,married,university.degree,no,yes,no,telephone,nov,fri,24.0,1,999,0,nonexistent,no
24,34,admin.,married,basic.9y,no,yes,no,cellular,apr,mon,401.0,2,999,0,nonexistent,no
25,38,admin.,single,university.degree,no,yes,no,cellular,jul,wed,834.0,1,999,0,nonexistent,no
26,37,management,married,university.degree,no,unknown,unknown,telephone,may,fri,107.0,1,999,0,nonexistent,no
27,33,services,married,high.school,no,yes,yes,cellular,nov,wed,314.0,3,999,0,nonexistent,no
28,41,self-employed,married,university.degree,no,yes,no,cellular,aug,fri,97.0,3,999,0,nonexistent,no
29,48,admin.,married,university.degree,no,no,no,cellular,aug,tue,80.0,1,999,0,nonexistent,no
30,48,unemployed,single,basic.9y,no,yes,no,cellular,apr,thu,228.0,1,999,1,failure,no
31,35,self-employed,single,university.degree,no,unknown,unknown,cellular,oct,mon,123.0,2,999,0,nonexistent,no
32,28,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,thu,94.0,2,999,0,nonexistent,no
33,38,admin.,married,university.degree,no,unknown,unknown,cellular,may,wed,118.0,1,999,0,nonexistent,no
34,45,technician,single,professional.course,no,no,no,telephone,jun,mon,180.0,1,999,0,nonexistent,no
35,30,entrepreneur,single,basic.9y,no,yes,no,cellular,nov,tue,108.0,5,999,0,nonexistent,no
36,33,technician,married,university.degree,no,no,no,cellular,aug,wed,123.0,1,999,0,nonexistent,no
37,54,blue-collar,single,unknown,no,no,no,cellular,jul,mon,,2,999,0,nonexistent,no
38,43,admin.,married,university.degree,no,unknown,unknown,cellular,aug,mon,72.0,2,999,0,nonexistent,no
39,50,management,married,basic.9y,no,no,no,telephone,may,mon,219.0,4,999,0,nonexistent,no
40,45,technician,single,university.degree,no,no,no,cellular,may,tue,146.0,2,999,1,failure,yes
41,36,admin.,divorced,university.degree,no,no,no,cellular,aug,mon,559.0,1,5,1,success,yes
42,39,management,married,university.degree,no,yes,no,telephone,may,wed,68.0,1,999,0,nonexistent,no
43,58,management,married,university.degree,unknown,yes,no,cellular,jul,mon,332.0,2,999,0,nonexistent,no
44,30,blue-collar,single,basic.9y,no,no,no,cellular,may,wed,305.0,8,999,0,nonexistent,no
45,27,self-employed,single,university.degree,no,no,no,cellular,may,thu,185.0,1,999,0,nonexistent,no
46,32,admin.,single,university.degree,no,unknown,unknown,telephone,jun,fri,121.0,4,999,0,nonexistent,no
47,34,unemployed,married,basic.9y,no,yes,no,cellular,may,thu,218.0,4,999,0,nonexistent,no
48,59,technician,married,professional.course,no,yes,no,telephone,aug,wed,240.0,3,999,1,failure,no
49,27,admin.,single,high.school,unknown,unknown,unknown,telephone,may,mon,1495.0,4,999,0,nonexistent,no
50,29,admin.,single,university.degree,unknown,no,no,cellular,aug,fri,97.0,2,999,0,nonexistent,no
51,50,blue-collar,married,basic.4y,no,no,yes,cellular,jul,mon,141.0,6,999,0,nonexistent,no
52,32,entrepreneur,married,basic.4y,no,yes,no,cellular,jun,tue,183.0,2,999,1,failure,yes
53,36,admin.,married,university.degree,unknown,no,no,cellular,aug,tue,28.0,13,999,0,nonexistent,no
54,44,admin.,divorced,high.school,no,yes,no,cellular,may,tue,173.0,8,999,1,failure,no
55,24,student,single,basic.9y,no,unknown,unknown,cellular,sep,tue,137.0,1,999,0,nonexistent,yes
56,38,admin.,married,basic.6y,no,no,no,cellular,jul,thu,262.0,3,999,0,nonexistent,no
57,41,blue-collar,married,basic.6y,unknown,no,no,telephone,may,fri,407.0,4,999,0,nonexistent,no
58,27,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,392.0,1,999,0,nonexistent,no
59,34,management,single,university.degree,no,no,no,cellular,jul,thu,90.0,13,999,0,nonexistent,no
60,36,technician,single,basic.9y,unknown,yes,no,telephone,jun,wed,227.0,2,999,0,nonexistent,no
61,39,blue-collar,single,unknown,no,yes,yes,cellular,may,fri,162.0,3,999,0,nonexistent,no
62,42,management,single,university.degree,no,no,no,cellular,oct,fri,1106.0,2,999,0,nonexistent,yes
63,25,unemployed,single,professional.course,no,no,no,cellular,apr,wed,268.0,1,999,0,nonexistent,no
64,63,technician,married,unknown,no,yes,no,cellular,dec,mon,510.0,2,999,1,failure,yes
65,36,blue-collar,married,basic.9y,no,yes,yes,cellular,nov,tue,130.0,1,999,0,nonexistent,no
66,43,admin.,married,university.degree,unknown,yes,no,telephone,may,fri,165.0,1,999,0,nonexistent,no
67,50,blue-collar,single,basic.4y,no,yes,no,telephone,may,mon,306.0,3,999,0,nonexistent,no
68,55,technician,married,professional.course,unknown,no,no,telephone,may,wed,806.0,2,999,0,nonexistent,no
69,56,entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,24.0,1,999,0,nonexistent,no
70,28,blue-collar,single,high.school,no,yes,no,telephone,apr,thu,771.0,1,999,0,nonexistent,yes
71,34,admin.,married,university.degree,no,no,no,cellular,nov,tue,140.0,2,999,1,failure,no
72,56,admin.,married,basic.4y,no,no,no,cellular,aug,thu,82.0,3,999,0,nonexistent,no
73,54,admin.,married,professional.course,no,no,no,telephone,may,mon,564.0,5,999,0,nonexistent,no
74,51,unemployed,married,high.school,no,unknown,unknown,telephone,sep,fri,228.0,1,999,2,failure,no
75,35,technician,single,professional.course,no,no,yes,cellular,aug,fri,30.0,4,999,0,nonexistent,no
76,30,technician,married,professional.course,no,no,no,telephone,aug,wed,5.0,1,0,4,success,no
77,32,technician,married,university.degree,no,no,yes,cellular,aug,tue,226.0,2,999,0,nonexistent,no
78,33,blue-collar,married,basic.4y,no,yes,no,telephone,jun,wed,61.0,23,999,0,nonexistent,no
79,50,admin.,single,high.school,no,no,yes,cellular,may,fri,623.0,8,999,0,nonexistent,yes
80,45,self-employed,divorced,university.degree,no,no,yes,cellular,jul,mon,890.0,4,999,0,nonexistent,yes
81,30,admin.,single,high.school,no,yes,no,telephone,jul,fri,105.0,1,999,0,nonexistent,no
82,26,blue-collar,single,basic.9y,no,no,no,cellular,may,thu,294.0,2,999,0,nonexistent,no
83,44,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,89.0,2,999,0,nonexistent,no
84,57,blue-collar,married,basic.4y,unknown,no,no,cellular,aug,wed,97.0,4,999,0,nonexistent,no
85,32,blue-collar,married,basic.9y,no,yes,no,cellular,nov,tue,61.0,2,999,1,failure,no
86,40,technician,married,professional.course,no,no,no,telephone,may,tue,191.0,2,999,0,nonexistent,no
87,51,technician,married,professional.course,no,no,no,cellular,aug,wed,221.0,9,999,0,nonexistent,no
88,58,blue-collar,married,unknown,unknown,yes,no,cellular,aug,fri,101.0,1,999,0,nonexistent,no
89,53,entrepreneur,married,university.degree,unknown,no,yes,cellular,aug,thu,314.0,2,999,0,nonexistent,no
90,30,services,married,high.school,no,yes,no,cellular,may,fri,424.0,1,999,0,nonexistent,no
91,39,blue-collar,married,basic.4y,no,yes,no,telephone,may,fri,159.0,4,999,0,nonexistent,no
92,30,entrepreneur,married,university.degree,no,no,no,telephone,may,thu,230.0,1,999,0,nonexistent,no
93,25,admin.,single,high.school,no,no,yes,cellular,jul,thu,277.0,1,999,0,nonexistent,no
94,52,management,divorced,university.degree,no,no,no,cellular,nov,mon,578.0,1,999,0,nonexistent,no
95,41,admin.,single,university.degree,no,no,no,telephone,may,fri,45.0,1,999,0,nonexistent,no
96,37,management,married,university.degree,no,yes,no,cellular,oct,thu,339.0,3,3,3,success,yes
97,39,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,mon,327.0,2,999,0,nonexistent,no
98,44,blue-collar,married,basic.4y,no,yes,no,cellular,aug,mon,79.0,1,999,0,nonexistent,no
99,35,services,married,professional.course,unknown,yes,yes,telephone,may,mon,361.0,2,999,0,nonexistent,no
100,31,blue-collar,divorced,basic.9y,no,no,no,cellular,nov,wed,546.0,3,999,0,nonexistent,no
101,34,admin.,married,high.school,no,yes,no,cellular,jul,wed,293.0,1,999,0,nonexistent,no
102,34,admin.,single,high.school,no,no,no,cellular,nov,wed,740.0,1,999,0,nonexistent,no
103,32,blue-collar,married,basic.9y,no,no,no,cellular,apr,thu,583.0,1,5,1,success,yes
104,30,admin.,single,university.degree,no,no,no,cellular,nov,fri,331.0,2,999,0,nonexistent,yes
105,49,entrepreneur,married,university.degree,no,yes,no,cellular,apr,mon,334.0,1,999,0,nonexistent,no
106,57,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,mon,769.0,3,999,0,nonexistent,no
107,47,services,married,unknown,unknown,yes,yes,telephone,may,mon,122.0,6,999,0,nonexistent,no
108,40,blue-collar,married,basic.6y,no,unknown,unknown,cellular,nov,wed,172.0,3,999,0,nonexistent,no
109,24,blue-collar,single,basic.4y,no,yes,no,cellular,may,fri,389.0,1,999,0,nonexistent,no
110,57,admin.,married,high.school,no,yes,no,cellular,aug,mon,91.0,1,999,0,nonexistent,no
111,45,technician,married,professional.course,unknown,no,no,telephone,jun,fri,124.0,3,999,0,nonexistent,no
112,55,admin.,divorced,university.degree,no,yes,no,cellular,nov,mon,288.0,2,999,0,nonexistent,no
113,44,blue-collar,married,basic.9y,no,no,no,cellular,aug,thu,1056.0,1,999,0,nonexistent,yes
114,29,admin.,single,university.degree,no,no,no,cellular,may,wed,132.0,2,999,0,nonexistent,no
115,46,technician,married,professional.course,no,no,no,cellular,may,fri,124.0,2,999,0,nonexistent,no
116,37,admin.,married,high.school,unknown,yes,no,telephone,jun,fri,21.0,1,999,0,nonexistent,no
117,31,technician,single,university.degree,no,no,no,telephone,apr,tue,126.0,4,999,0,nonexistent,no
118,40,management,married,high.school,unknown,no,no,cellular,nov,tue,825.0,2,999,0,nonexistent,no
119,30,blue-collar,married,basic.6y,no,no,no,telephone,jun,tue,67.0,1,999,0,nonexistent,no
120,36,admin.,single,university.degree,no,yes,no,cellular,may,tue,104.0,3,999,1,failure,no
121,32,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,210.0,2,999,0,nonexistent,no
122,50,technician,married,university.degree,unknown,yes,yes,cellular,nov,fri,63.0,1,999,0,nonexistent,no
123,32,admin.,divorced,high.school,no,yes,no,cellular,jul,mon,422.0,1,999,0,nonexistent,no
124,41,admin.,married,high.school,no,yes,no,cellular,nov,tue,62.0,4,999,0,nonexistent,no
125,38,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,241.0,1,999,0,nonexistent,no
126,22,blue-collar,single,basic.6y,unknown,no,no,telephone,may,fri,178.0,2,999,0,nonexistent,no
127,40,technician,married,basic.9y,no,yes,no,telephone,may,thu,203.0,1,999,0,nonexistent,no
128,30,blue-collar,married,professional.course,no,yes,no,cellular,nov,wed,107.0,3,999,0,nonexistent,no
129,50,blue-collar,married,basic.4y,no,no,no,cellular,aug,mon,159.0,5,999,0,nonexistent,no
130,23,student,single,high.school,no,no,no,telephone,nov,mon,105.0,2,999,0,nonexistent,no
131,30,management,single,university.degree,no,yes,yes,cellular,may,tue,228.0,1,999,1,failure,no
132,53,blue-collar,married,basic.4y,no,no,no,cellular,aug,wed,165.0,2,999,0,nonexistent,no
133,46,admin.,married,basic.9y,unknown,no,no,cellular,jul,mon,87.0,2,999,0,nonexistent,no
134,26,services,single,high.school,no,no,no,telephone,may,wed,461.0,1,999,0,nonexistent,no
135,39,technician,married,professional.course,no,no,no,cellular,aug,fri,337.0,2,999,0,nonexistent,no
136,36,management,married,university.degree,unknown,no,no,cellular,aug,tue,504.0,2,999,0,nonexistent,no
137,34,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,477.0,1,999,0,nonexistent,no
138,24,technician,single,high.school,no,yes,no,cellular,jun,tue,142.0,2,999,0,nonexistent,no
139,50,admin.,married,high.school,no,yes,no,telephone,jun,tue,167.0,2,999,0,nonexistent,no
140,32,self-employed,married,university.degree,no,yes,no,cellular,nov,thu,247.0,1,6,3,failure,yes
141,30,services,single,unknown,no,no,no,telephone,jun,mon,163.0,1,999,0,nonexistent,no
142,37,admin.,married,high.school,no,no,no,cellular,may,fri,123.0,5,999,0,nonexistent,no
143,26,admin.,single,high.school,unknown,yes,no,telephone,may,fri,161.0,2,999,0,nonexistent,no
144,55,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,203.0,2,999,0,nonexistent,no
145,32,admin.,married,university.degree,no,no,no,cellular,aug,thu,258.0,2,999,0,nonexistent,no
146,52,management,married,university.degree,no,yes,no,telephone,may,fri,412.0,1,999,0,nonexistent,no
147,19,student,single,unknown,no,yes,yes,cellular,apr,fri,72.0,4,999,0,nonexistent,no
148,25,student,single,high.school,no,no,no,cellular,may,thu,12.0,7,999,0,nonexistent,no
149,59,self-employed,married,basic.9y,no,yes,no,cellular,aug,wed,160.0,3,999,0,nonexistent,no
150,32,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,98.0,2,999,0,nonexistent,no
151,49,blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,117.0,3,999,0,nonexistent,no
152,51,technician,married,professional.course,no,yes,no,cellular,may,fri,153.0,1,999,1,failure,no
153,38,technician,married,professional.course,no,yes,no,cellular,mar,fri,207.0,2,7,1,success,yes
154,45,entrepreneur,married,basic.4y,unknown,yes,no,cellular,apr,thu,618.0,1,999,0,nonexistent,no
155,28,housemaid,single,basic.6y,no,no,no,cellular,jul,mon,94.0,1,999,0,nonexistent,no
156,39,unemployed,married,university.degree,no,no,no,telephone,jun,tue,132.0,2,999,0,nonexistent,no
157,32,services,divorced,high.school,unknown,yes,no,cellular,may,fri,133.0,4,999,0,nonexistent,no
158,58,admin.,married,university.degree,no,yes,no,telephone,oct,mon,9.0,1,999,0,nonexistent,no
159,41,blue-collar,married,basic.4y,no,yes,no,cellular,may,fri,232.0,2,999,0,nonexistent,no
160,59,housemaid,married,basic.6y,no,yes,no,telephone,may,wed,329.0,1,999,0,nonexistent,no
161,31,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,161.0,5,999,1,failure,no
162,39,self-employed,married,basic.9y,no,no,no,cellular,jul,thu,742.0,1,999,0,nonexistent,no
163,46,admin.,married,high.school,no,no,no,cellular,apr,thu,243.0,1,999,0,nonexistent,no
164,31,blue-collar,married,basic.9y,no,yes,no,telephone,jun,wed,704.0,4,999,0,nonexistent,yes
165,48,technician,single,university.degree,no,yes,yes,cellular,nov,tue,193.0,4,999,1,failure,no
166,39,entrepreneur,married,professional.course,no,yes,no,cellular,nov,thu,997.0,2,999,0,nonexistent,no
167,40,management,married,basic.6y,no,yes,no,cellular,apr,thu,179.0,1,999,0,nonexistent,no
168,57,management,divorced,university.degree,no,no,no,telephone,may,wed,283.0,3,999,0,nonexistent,no
169,27,admin.,single,university.degree,no,yes,no,telephone,may,wed,582.0,1,999,0,nonexistent,no
170,57,services,married,unknown,no,yes,no,cellular,nov,fri,56.0,2,999,1,failure,no
171,45,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,103.0,2,999,0,nonexistent,no
172,41,blue-collar,married,basic.6y,no,no,no,cellular,may,tue,131.0,1,999,0,nonexistent,no
173,45,technician,married,professional.course,no,yes,no,cellular,aug,tue,196.0,1,999,0,nonexistent,no
174,27,services,single,university.degree,no,yes,no,cellular,mar,mon,104.0,1,6,1,success,yes
175,32,admin.,single,basic.9y,no,no,no,cellular,jul,thu,,1,999,0,nonexistent,no
176,85,housemaid,married,basic.4y,unknown,no,no,cellular,apr,tue,175.0,6,6,1,success,yes
177,33,blue-collar,married,basic.9y,unknown,no,yes,telephone,may,thu,113.0,3,999,0,nonexistent,no
178,33,technician,single,professional.course,no,yes,no,cellular,aug,wed,290.0,1,999,0,nonexistent,no
179,36,admin.,married,high.school,no,yes,no,cellular,nov,tue,94.0,2,999,0,nonexistent,no
180,50,admin.,divorced,basic.9y,no,yes,yes,cellular,jul,mon,68.0,2,999,0,nonexistent,no
181,41,technician,married,professional.course,no,no,yes,cellular,aug,wed,81.0,2,999,0,nonexistent,no
182,42,self-employed,married,professional.course,no,yes,no,telephone,jun,tue,214.0,4,999,0,nonexistent,no
183,30,admin.,single,professional.course,no,no,no,cellular,aug,tue,97.0,7,999,0,nonexistent,no
184,28,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,wed,289.0,1,999,0,nonexistent,no
185,36,technician,married,professional.course,no,no,no,cellular,jul,mon,314.0,4,999,0,nonexistent,no
186,35,self-employed,married,professional.course,no,yes,no,cellular,nov,tue,91.0,1,999,1,failure,no
187,33,blue-collar,single,basic.4y,no,yes,no,cellular,may,tue,184.0,1,999,0,nonexistent,no
188,42,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,123.0,1,999,0,nonexistent,no
189,36,blue-collar,married,basic.6y,no,no,yes,cellular,nov,wed,281.0,2,999,0,nonexistent,no
190,27,services,single,high.school,no,yes,no,cellular,may,thu,193.0,1,999,0,nonexistent,no
191,27,admin.,single,professional.course,no,yes,yes,telephone,jun,fri,141.0,1,999,0,nonexistent,no
192,45,technician,single,professional.course,unknown,yes,no,telephone,jun,fri,293.0,3,999,0,nonexistent,no
193,53,blue-collar,married,unknown,no,yes,no,cellular,aug,wed,94.0,3,999,0,nonexistent,no
194,29,admin.,married,university.degree,no,no,no,cellular,nov,wed,406.0,3,999,0,nonexistent,no
195,33,admin.,single,high.school,no,yes,no,cellular,may,wed,281.0,3,999,1,failure,no
196,31,technician,single,high.school,no,yes,no,cellular,apr,fri,596.0,1,999,1,failure,no
197,53,entrepreneur,married,university.degree,no,yes,no,cellular,jul,thu,302.0,1,999,0,nonexistent,no
198,30,services,married,high.school,no,yes,no,telephone,may,fri,265.0,3,999,0,nonexistent,no
199,53,blue-collar,married,high.school,no,no,no,telephone,may,tue,109.0,1,999,0,nonexistent,no
200,78,retired,divorced,unknown,no,no,no,cellular,jun,thu,544.0,1,999,0,nonexistent,yes
201,40,admin.,married,high.school,no,yes,no,cellular,aug,tue,195.0,1,999,0,nonexistent,no
202,33,technician,married,professional.course,no,no,no,cellular,aug,tue,120.0,3,999,0,nonexistent,no
203,59,admin.,divorced,university.degree,no,no,no,cellular,apr,wed,194.0,1,999,0,nonexistent,no
204,24,services,married,high.school,no,no,no,telephone,may,fri,122.0,1,999,0,nonexistent,no
205,34,admin.,single,university.degree,no,yes,no,cellular,apr,mon,58.0,2,999,1,failure,no
206,48,admin.,single,basic.4y,unknown,no,no,cellular,nov,wed,340.0,2,999,0,nonexistent,no
207,23,blue-collar,single,basic.9y,no,no,no,cellular,jun,tue,159.0,1,999,1,failure,no
208,34,blue-collar,married,basic.9y,no,no,no,cellular,may,tue,192.0,3,999,0,nonexistent,no
209,48,blue-collar,married,basic.6y,unknown,no,no,cellular,apr,fri,576.0,1,999,1,failure,no
210,34,admin.,married,high.school,no,yes,no,cellular,jun,wed,238.0,1,6,2,success,yes
211,35,admin.,divorced,university.degree,no,yes,no,cellular,nov,fri,28.0,3,999,1,failure,no
212,32,services,divorced,high.school,no,no,yes,cellular,nov,tue,98.0,1,999,0,nonexistent,no
213,39,blue-collar,married,basic.9y,no,no,no,cellular,nov,mon,310.0,1,999,0,nonexistent,no
214,59,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,wed,569.0,1,999,0,nonexistent,no
215,32,blue-collar,single,university.degree,no,yes,yes,cellular,jul,wed,126.0,2,999,0,nonexistent,no
216,31,admin.,married,university.degree,no,no,no,cellular,aug,fri,880.0,3,999,0,nonexistent,yes
217,27,entrepreneur,single,university.degree,no,yes,no,telephone,jul,tue,420.0,2,999,0,nonexistent,no
218,50,management,married,university.degree,unknown,no,no,cellular,aug,mon,139.0,2,999,0,nonexistent,no
219,54,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,wed,261.0,1,999,0,nonexistent,no
220,50,admin.,married,high.school,no,no,no,telephone,jun,fri,513.0,3,999,0,nonexistent,no
221,50,management,married,university.degree,no,no,no,cellular,sep,thu,718.0,4,999,3,failure,no
222,40,management,married,university.degree,no,no,no,cellular,nov,tue,1122.0,2,999,1,failure,yes
223,41,admin.,single,high.school,no,no,no,telephone,may,mon,76.0,1,999,0,nonexistent,no
224,43,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,mon,227.0,4,999,0,nonexistent,no
225,51,services,married,high.school,unknown,no,no,cellular,apr,thu,278.0,3,999,0,nonexistent,no
226,27,student,single,high.school,no,no,no,cellular,aug,mon,131.0,1,3,2,success,no
227,36,management,married,university.degree,no,yes,no,cellular,nov,wed,94.0,1,999,0,nonexistent,no
228,27,services,single,high.school,no,yes,no,cellular,may,thu,88.0,1,999,1,failure,no
229,56,self-employed,married,university.degree,no,no,no,cellular,apr,tue,110.0,2,999,0,nonexistent,yes
230,41,housemaid,divorced,basic.9y,unknown,no,yes,cellular,jul,wed,122.0,1,999,0,nonexistent,no
231,20,student,single,high.school,no,yes,no,cellular,apr,thu,195.0,2,999,0,nonexistent,no
232,35,blue-collar,married,basic.9y,no,no,no,telephone,jun,tue,438.0,1,999,0,nonexistent,no
233,30,technician,married,basic.9y,no,yes,no,telephone,may,thu,7.0,7,999,0,nonexistent,no
234,21,unemployed,single,high.school,no,yes,no,cellular,jul,fri,203.0,1,999,0,nonexistent,yes
235,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,180.0,2,999,0,nonexistent,no
236,35,blue-collar,married,high.school,no,yes,no,cellular,may,thu,121.0,1,999,0,nonexistent,no
237,32,admin.,divorced,university.degree,no,no,no,cellular,jul,thu,75.0,1,999,0,nonexistent,no
238,27,technician,single,professional.course,no,no,no,cellular,may,thu,256.0,1,11,1,success,no
239,48,entrepreneur,married,university.degree,no,yes,no,telephone,may,tue,222.0,2,999,0,nonexistent,no
240,30,admin.,single,university.degree,no,no,no,cellular,aug,fri,459.0,1,999,0,nonexistent,yes
241,37,blue-collar,married,basic.4y,no,yes,no,cellular,may,thu,125.0,1,999,1,failure,no
242,25,blue-collar,single,professional.course,no,yes,no,cellular,jun,tue,179.0,2,3,1,success,yes
243,52,admin.,married,university.degree,unknown,yes,no,cellular,nov,fri,131.0,1,999,0,nonexistent,no
244,46,management,married,university.degree,no,yes,no,cellular,nov,wed,111.0,2,999,0,nonexistent,no
245,58,entrepreneur,married,university.degree,unknown,no,no,telephone,may,fri,107.0,4,999,0,nonexistent,no
246,42,admin.,divorced,university.degree,no,no,no,telephone,may,wed,180.0,4,999,0,nonexistent,no
247,31,blue-collar,single,high.school,no,no,no,telephone,may,tue,1882.0,2,999,0,nonexistent,yes
248,55,technician,married,basic.9y,no,no,no,telephone,jun,mon,80.0,3,999,0,nonexistent,no
249,54,management,married,university.degree,no,yes,no,cellular,jul,wed,281.0,3,999,0,nonexistent,no
250,27,technician,single,professional.course,no,yes,no,telephone,may,tue,324.0,3,999,0,nonexistent,no
251,44,services,divorced,high.school,no,yes,no,cellular,jul,mon,158.0,5,999,0,nonexistent,no
252,32,entrepreneur,married,high.school,unknown,no,no,telephone,jun,wed,850.0,8,999,0,nonexistent,no
253,43,blue-collar,married,basic.4y,unknown,no,no,telephone,may,fri,73.0,1,999,0,nonexistent,no
254,40,technician,married,professional.course,no,no,no,telephone,jun,fri,18.0,1,999,0,nonexistent,no
255,42,services,married,high.school,no,yes,yes,telephone,apr,fri,73.0,1,999,1,failure,no
256,31,admin.,single,university.degree,no,no,no,cellular,apr,thu,353.0,1,999,0,nonexistent,no
257,41,housemaid,married,basic.4y,unknown,yes,no,cellular,aug,thu,92.0,1,999,0,nonexistent,no
258,26,technician,single,professional.course,no,yes,no,telephone,jun,wed,605.0,1,999,0,nonexistent,no
259,26,blue-collar,single,basic.9y,no,no,no,cellular,may,thu,134.0,2,999,0,nonexistent,no
260,45,blue-collar,married,basic.9y,no,yes,no,cellular,aug,thu,773.0,5,999,0,nonexistent,yes
261,36,blue-collar,married,basic.9y,no,no,yes,cellular,nov,mon,131.0,1,999,0,nonexistent,no
262,40,self-employed,married,professional.course,no,no,no,telephone,may,tue,119.0,1,999,0,nonexistent,no
263,26,services,single,basic.9y,no,no,no,cellular,may,mon,18.0,4,999,0,nonexistent,no
264,39,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,tue,502.0,1,999,0,nonexistent,no
265,52,technician,married,basic.4y,unknown,no,yes,telephone,may,wed,388.0,1,999,0,nonexistent,no
266,39,technician,married,professional.course,no,yes,no,telephone,jun,wed,67.0,3,999,0,nonexistent,no
267,32,technician,single,university.degree,no,no,no,cellular,may,thu,14.0,8,999,0,nonexistent,no
268,52,housemaid,divorced,high.school,no,yes,no,cellular,aug,tue,140.0,3,999,0,nonexistent,no
269,40,blue-collar,married,basic.6y,unknown,no,no,cellular,may,fri,171.0,1,999,1,failure,no
270,35,management,married,university.degree,unknown,no,yes,cellular,aug,thu,137.0,2,999,0,nonexistent,no
271,47,blue-collar,single,basic.4y,no,no,no,telephone,may,tue,184.0,1,999,0,nonexistent,no
272,27,technician,single,high.school,no,yes,no,telephone,jul,wed,109.0,1,999,0,nonexistent,no
273,54,unemployed,married,basic.9y,no,yes,no,cellular,nov,tue,127.0,1,999,1,failure,no
274,37,services,divorced,basic.4y,no,no,no,cellular,may,fri,167.0,3,999,0,nonexistent,no
275,33,technician,married,basic.9y,no,no,no,telephone,may,wed,68.0,1,999,0,nonexistent,no
276,34,technician,married,unknown,no,no,no,cellular,nov,tue,985.0,3,999,0,nonexistent,yes
277,39,technician,married,professional.course,no,yes,no,cellular,may,thu,1254.0,3,999,1,failure,no
278,49,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,fri,151.0,1,999,0,nonexistent,no
